ISO,Country,Data source,Sector,Gas,Unit,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
WORLD,World,Climate Watch,Total including LUCF,CO2,MtCO₂e,34739.12,36948.97,36855.48,35836.11,35327.54,34657.09,34824.6,34418.74,33776.66,33386.21,33478.09,31910.11,32001.8,31798.65,31114.92,29884.64,29050.2,27579.09,26706.93,25988.6,25901.81,25204.1,25135.56,25528.62,24415.14,24075.08,23447.16,23302.43,23160.21,23210.66,23054.21
CHN,China,Climate Watch,Total including LUCF,CO2,MtCO₂e,10296.84,10114.97,9919.35,9441.36,9213.01,9151.3,9313.07,9271.15,8832.57,8574.58,8144.89,7389.04,6869.56,6663.14,6107.42,5494.58,4783.16,4094.34,3466.08,3199.01,2999.34,2806.46,2889.06,2786.88,2723.27,2741.38,2420.38,2298.13,2070.89,1954.9,1826.08
USA,United States,Climate Watch,Total including LUCF,CO2,MtCO₂e,4099.07,4596.26,4753.71,4597.65,4672.82,4581.54,4698.08,4683.03,4547.1,4764.69,5000.25,4764.57,5166.56,5344.56,5261.38,5361.85,5346.69,5267.44,5201.47,5356.69,5367.14,5200.25,5181.68,5134.42,4864.59,4708.19,4657.73,4586.28,4470.85,4398.72,4435.74
EUU,European Union (27),Climate Watch,Total including LUCF,CO2,MtCO₂e,2303.66,2568.23,2706.16,2769.48,2744.54,2393.75,2336.4,2480.85,2557.6,2617.75,2972.81,2887.74,3134.72,3213.02,3254.52,3245.83,3262.63,3258.19,3168.6,3176.93,3158.96,3149.18,3206.44,3215.04,3284.05,3184.63,3133.22,3144.0,3207.51,3323.82,3361.16
IND,India,Climate Watch,Total including LUCF,CO2,MtCO₂e,2165.2,2388.32,2422.58,2273.21,2159.66,2091.86,2080.94,1906.27,1843.28,1690.59,1663.64,1568.54,1428.03,1340.39,1218.86,1140.12,1089.33,1015.44,989.13,957.22,715.45,678.94,613.9,596.9,551.7,515.48,463.51,428.96,403.9,384.84,341.19
RUS,Russia,Climate Watch,Total including LUCF,CO2,MtCO₂e,1083.43,1168.51,1125.52,1058.47,1035.34,927.79,947.16,967.97,1011.08,1034.09,871.34,800.01,908.67,911.77,908.62,865.91,854.98,863.93,819.34,821.19,1212.27,1171.91,1135.66,1137.09,1248.77,1283.13,1332.72,1527.92,1678.5,1783.92,1811.01
IDN,Indonesia,Climate Watch,Total including LUCF,CO2,MtCO₂e,1053.73,1393.77,1180.95,990.63,984.37,1501.22,1462.03,1173.35,1228.39,1211.24,703.62,965.53,663.29,672.24,1088.24,763.98,966.65,697.87,938.99,569.7,734.27,788.24,848.08,1427.05,713.82,835.67,809.71,795.64,781.98,772.88,758.9
JPN,Japan,Climate Watch,Total including LUCF,CO2,MtCO₂e,982.26,1041.85,1079.33,1119.05,1133.09,1128.88,1167.88,1218.03,1205.03,1164.56,1059.4,1004.64,1061.21,1130.45,1095.66,1118.15,1110.04,1116.68,1109.52,1075.12,1108.9,1093.44,1054.75,1097.08,1109.14,1095.51,1085.25,1032.13,1039.63,1028.55,1015.1
BRA,Brazil,Climate Watch,Total including LUCF,CO2,MtCO₂e,798.61,818.79,818.32,840.16,831.54,747.49,773.77,748.99,716.38,680.44,1499.21,1451.28,1474.91,1453.84,1436.91,1432.97,1429.8,1412.02,1418.97,1420.58,1352.32,1339.61,1329.23,1319.96,1301.04,1279.91,1261.12,1253.88,1246.46,1244.07,1236.5
IRN,Iran,Climate Watch,Total including LUCF,CO2,MtCO₂e,616.62,625.31,637.49,626.48,607.27,599.18,605.36,583.7,559.12,552.05,496.9,498.03,478.78,469.87,439.91,406.53,373.39,345.51,325.61,309.8,320.04,302.95,270.58,271.98,259.4,251.1,246.28,216.31,213.24,198.69,178.06
COD,Democratic Republic of the Congo,Climate Watch,Total including LUCF,CO2,MtCO₂e,604.27,604.28,604.07,604.1,603.68,604.49,606.39,605.21,604.08,604.27,370.23,370.08,370.13,370.05,369.86,369.79,369.52,369.58,369.23,369.15,369.22,369.69,369.87,369.86,369.87,369.7,369.8,369.49,369.07,369.33,370.77
DEU,Germany,Climate Watch,Total including LUCF,CO2,MtCO₂e,591.78,647.12,696.28,720.71,735.67,731.02,724.72,764.89,748.87,735.22,772.68,734.41,789.31,783.43,814.04,802.01,820.69,836.56,833.3,847.71,797.32,800.7,832.45,839.84,871.55,841.93,843.13,854.3,860.06,899.8,922.56
CAN,Canada,Climate Watch,Total including LUCF,CO2,MtCO₂e,570.49,619.55,632.98,621.29,609.94,711.86,714.86,708.83,699.36,702.41,856.2,840.48,869.63,890.77,859.79,868.39,855.86,863.93,843.72,825.91,597.71,577.51,567.7,559.47,544.27,530.55,518.8,504.09,508.41,495.34,501.53
KOR,South Korea,Climate Watch,Total including LUCF,CO2,MtCO₂e,523.88,566.33,584.39,580.38,569.64,557.37,537.63,549.14,549.86,548.02,515.1,466.52,454.8,443.57,427.73,420.88,425.79,403.79,400.88,396.55,404.8,359.44,324.13,389.2,367.55,342.97,311.84,285.17,254.61,232.36,205.24
SAU,Saudi Arabia,Climate Watch,Total including LUCF,CO2,MtCO₂e,513.56,526.77,527.57,549.75,561.23,565.19,540.52,503.21,492.47,463.76,446.13,406.53,389.71,354.62,335.43,315.29,299.89,284.83,272.25,254.08,249.65,239.52,233.9,220.07,217.65,204.83,206.36,203.25,202.03,187.92,171.4
ZAF,South Africa,Climate Watch,Total including LUCF,CO2,MtCO₂e,399.91,453.3,446.32,441.89,432.36,431.47,454.71,443.67,433.41,415.89,432.07,410.87,433.63,403.68,386.25,384.16,386.45,359.54,337.75,326.85,290.9,284.7,302.6,294.97,280.42,270.63,258.46,252.82,245.15,248.66,253.99
MEX,Mexico,Climate Watch,Total including LUCF,CO2,MtCO₂e,397.58,466.28,459.35,488.95,490.84,485.48,476.09,489.59,500.3,492.25,396.14,381.64,392.82,390.39,381.57,365.46,347.37,337.96,319.27,312.1,401.49,377.49,387.45,364.79,345.01,329.15,348.82,322.98,313.99,310.31,291.89
AUS,Australia,Climate Watch,Total including LUCF,CO2,MtCO₂e,381.53,397.73,398.59,399.68,397.33,356.68,350.16,359.32,366.59,365.34,425.71,423.57,417.28,414.08,403.82,398.52,395.86,382.62,383.05,375.35,390.19,384.44,378.29,358.52,350.91,340.86,330.77,323.7,319.05,315.39,314.12
TUR,Türkiye,Climate Watch,Total including LUCF,CO2,MtCO₂e,378.76,370.12,385.46,389.45,347.75,293.74,282.0,259.42,270.13,258.97,254.85,245.34,244.24,246.01,218.12,192.04,181.64,176.2,165.14,154.81,199.45,175.71,176.74,176.48,168.39,151.21,136.88,138.64,132.85,126.85,122.25
VNM,Vietnam,Climate Watch,Total including LUCF,CO2,MtCO₂e,342.18,328.22,272.61,216.35,208.76,177.7,157.43,142.25,131.72,132.2,168.52,149.17,134.45,122.05,111.74,109.68,102.27,87.79,85.69,73.59,-22.4,-27.13,-28.03,-32.83,-38.57,-42.15,-46.89,-49.33,-52.76,-53.78,-54.25
GBR,United Kingdom,Climate Watch,Total including LUCF,CO2,MtCO₂e,321.45,358.75,373.36,379.67,394.98,415.55,430.08,468.27,482.31,460.13,495.49,479.33,528.17,543.35,554.92,553.78,555.94,555.95,543.73,558.25,542.32,534.25,537.54,535.73,557.33,538.74,547.13,553.33,569.84,582.63,573.72
MYS,Malaysia,Climate Watch,Total including LUCF,CO2,MtCO₂e,310.29,314.77,309.21,288.24,301.24,116.52,128.23,101.65,82.99,81.96,306.24,294.0,300.95,290.41,269.2,271.38,259.89,239.23,231.76,219.33,227.77,217.36,228.9,210.22,201.53,192.24,185.99,179.3,173.44,171.36,160.88
THA,Thailand,Climate Watch,Total including LUCF,CO2,MtCO₂e,278.25,287.24,277.22,279.87,280.67,268.8,261.78,264.63,256.23,238.91,207.3,191.04,200.08,198.09,190.87,188.26,181.07,161.81,157.05,144.91,180.28,180.44,171.92,192.91,187.01,167.86,149.37,135.01,118.56,108.04,99.65
ITA,Italy,Climate Watch,Total including LUCF,CO2,MtCO₂e,268.37,304.3,311.98,316.28,320.44,303.11,292.74,311.7,341.99,361.93,370.47,362.25,410.18,424.57,431.85,439.03,437.6,427.4,408.67,401.77,401.68,398.4,391.76,380.91,377.54,381.8,357.67,362.32,367.67,369.47,370.65
POL,Poland,Climate Watch,Total including LUCF,CO2,MtCO₂e,261.76,277.48,294.35,295.36,282.42,277.51,274.16,286.77,291.82,299.07,257.67,241.2,252.29,257.36,258.08,245.34,245.85,241.86,231.55,237.94,298.05,311.28,320.81,347.05,357.79,342.64,342.45,346.72,346.08,354.33,352.92
EGY,Egypt,Climate Watch,Total including LUCF,CO2,MtCO₂e,210.94,218.09,238.17,244.72,235.61,227.2,220.04,214.77,215.92,206.68,200.14,197.49,189.76,183.22,170.57,162.05,144.33,132.85,129.27,126.53,114.21,116.13,110.57,105.65,98.53,93.31,87.49,92.25,90.49,88.96,87.34
KAZ,Kazakhstan,Climate Watch,Total including LUCF,CO2,MtCO₂e,208.91,201.61,213.91,211.91,199.49,181.2,199.4,250.15,234.74,235.59,228.19,212.1,240.52,196.88,183.79,167.7,156.52,144.63,129.55,115.93,119.33,121.83,135.02,131.42,152.57,174.41,198.35,218.42,253.02,245.54,236.43
FRA,France,Climate Watch,Total including LUCF,CO2,MtCO₂e,205.71,239.11,245.52,256.29,252.41,250.63,245.47,277.91,277.77,274.49,282.01,277.95,292.28,297.13,305.82,314.9,312.03,310.99,305.36,311.1,348.85,350.63,356.84,334.81,343.64,327.96,320.15,325.2,344.34,356.38,331.98
PAK,Pakistan,Climate Watch,Total including LUCF,CO2,MtCO₂e,191.11,191.09,193.86,205.73,188.11,169.61,159.69,151.45,149.27,147.14,147.44,152.4,147.8,152.88,139.37,128.67,125.38,112.73,109.39,106.9,106.42,106.82,98.24,97.41,93.87,90.78,84.3,81.8,75.02,68.35,67.07
ESP,Spain,Climate Watch,Total including LUCF,CO2,MtCO₂e,188.8,227.98,244.45,250.81,234.34,249.35,234.08,235.9,262.38,267.58,254.97,268.96,305.1,335.51,322.61,331.34,316.4,299.49,293.58,275.58,250.65,235.63,213.5,205.87,187.38,197.83,185.72,175.35,189.64,179.37,172.22
ARE,United Arab Emirates,Climate Watch,Total including LUCF,CO2,MtCO₂e,188.09,185.65,174.22,191.94,200.4,195.41,186.64,184.96,175.69,166.63,162.79,157.02,156.04,131.83,121.56,116.45,110.01,103.82,99.15,97.2,84.73,85.68,83.45,81.44,78.53,75.17,70.78,63.62,59.7,61.56,55.21
ARG,Argentina,Climate Watch,Total including LUCF,CO2,MtCO₂e,186.5,200.14,208.88,211.24,215.13,253.37,247.42,251.08,245.78,244.47,264.31,253.64,264.31,259.88,251.98,243.06,238.45,224.73,214.53,222.29,178.84,181.07,179.23,172.67,169.1,159.45,158.46,156.81,154.47,152.46,146.86
IRQ,Iraq,Climate Watch,Total including LUCF,CO2,MtCO₂e,164.01,181.18,168.65,156.95,143.78,133.25,134.13,139.19,129.09,113.12,108.5,94.15,88.08,76.6,82.91,85.08,88.06,81.23,91.11,97.5,87.49,72.58,91.65,118.77,98.74,99.93,101.98,89.42,67.2,45.41,64.07
